EI_NAME,ENV_NAME,BOOTLOAD,PL_NAME,SRV_NAME,UNT,UNT_IMAGE,COMPUTE_UNIT,Cores,Memory (Gigs),Prod/Dev,EM  Y / N / Retire,Comments
OBIOTBIEED01,obi0322,apol5u10,TECHPROD-NADC-01,srv12002,unit24815,OBIOTBIEED01_OAM,32,4,16,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0323,apol5u10,TECHPROD-NADC-01,srv13411,unit24817,OBIOTBIEED01_OAM,32,4,16,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0323,apol5u10,TECHPROD-NADC-01,srv17932,unit24816,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0324,apol5u10,TECHPROD-NADC-01,srv17825,unit24818,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0324,apol5u10,TECHPROD-NADC-01,srv17831,unit24819,OBIOTBIEED01_OAM,32,4,16,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0325,apol5u10,TECHPROD-NADC-01,srv10903,unit24849,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0325,apol5u10,TECHPROD-NADC-01,srv17825,unit24850,OBIOTBIEED01_OAM,32,4,16,Prod,Retire 12/31/2015,
OBIOTBIEED01 Total,,,,,,,,180,600,,,
OBIOTBIEED02,obi0238,apol5u10,TECHBUILD-NADC-01,srv17930,unit5455,OBIOTBIEED02_BIS,48,8,24,Dev,Retire 12/31/2015,
OBIOTBIEED02,obi0238,apol5u10,TECHBUILD-NADC-01,srv17930,unit5461,OBIOTBIEED02_OAM,32,4,16,Dev,Retire 12/31/2015,
OBIOTBIEED02,obi0239,apol5u10,TECHBUILD-NADC-01,srv14802,unit9904,OBIOTBIEED02_OAM,32,4,16,Dev,Retire 12/31/2015,
OBIOTBIEED02,obi0239,apol5u10,TECHBUILD-NADC-01,srv17930,unit14257,OBIOTBIEED02_BIS,48,8,24,Dev,Retire 12/31/2015,
OBIOTBIEED02,obi0259,apol5u10,TECHBUILD-NADC-01,srv10915,unit15764,OBIOTBIEED02_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED02,obi0259,apol5u10,TECHBUILD-NADC-01,srv10915,unit15765,OBIOTBIEED02_OAM,32,4,16,Prod,Retire 12/31/2015,
OBIOTBIEED02,obi0262,apol5u10,TECHPROD-NADC-01,srv17809,unit17802,OBIOTBIEED02_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED02,obi0262,apol5u10,TECHPROD-NADC-01,srv17809,unit17803,OBIOTBIEED02_OAM,32,4,16,Prod,Retire 12/31/2015,
